date,Voltage,Charge_Capacity,Current
06/22/2018 05:49:37.000,4.400014877,0.510593235,2.167074203
06/22/2018 05:51:37.000,4.400014877,0.577504277,1.863236427
06/22/2018 05:53:37.000,4.40004921,0.635615647,1.634009361
06/22/2018 05:55:37.000,4.400012016,0.687064588,1.463514328
06/22/2018 05:57:37.000,4.399995804,0.733612359,1.336268425
06/22/2018 05:59:37.000,4.400014877,0.776303649,1.22888279
06/22/2018 06:01:37.000,4.400045395,0.815714717,1.139029503
06/22/2018 06:03:37.000,4.399940491,0.852366805,1.062181473
06/22/2018 06:05:37.000,4.400009155,0.886593282,0.992401123
06/22/2018 06:07:37.000,4.400038719,0.918508947,0.923261642
06/22/2018 06:09:37.000,4.399967194,0.948210001,0.859837532
06/22/2018 06:11:37.000,4.400009155,0.975893855,0.802965164
06/22/2018 06:13:37.000,4.400053024,1.001812339,0.753072739
06/22/2018 06:15:37.000,4.39994812,1.026148677,0.708098412
06/22/2018 06:17:37.000,4.400068283,1.04906249,0.667160034
06/22/2018 06:19:37.000,4.399989128,1.057734609,0.651990891
06/22/2018 06:21:37.000,4.26985836,1.057734847,0
06/22/2018 06:23:37.000,4.25737381,1.057734847,0
06/22/2018 06:25:37.000,4.254309654,1.057734847,0
06/22/2018 06:27:37.000,3.315452576,1.057734847,-6.520182133
06/22/2018 06:29:37.000,3.246377945,1.057734847,-6.520204067
06/22/2018 06:31:37.000,3.162632942,1.057734847,-6.520195484
06/22/2018 06:33:37.000,3.078164101,1.057734847,-6.520160198
06/22/2018 06:35:37.000,2.999983788,1.057734847,-6.519819736
06/22/2018 06:37:37.000,3.860061646,1.057734847,0
06/22/2018 06:39:37.000,3.878915787,1.057734847,0
06/22/2018 06:41:37.000,3.883199692,1.057734847,0
06/22/2018 06:43:37.000,4.200084686,0.010225946,3.259840012
06/22/2018 06:45:37.000,4.324192047,0.118644275,3.259849548
06/22/2018 06:47:37.000,4.364304543,0.22730422,3.259811401
06/22/2018 06:49:37.000,4.39999485,0.334682733,3.045013428
06/22/2018 06:51:37.000,4.399959564,0.427043855,2.515037537
06/22/2018 06:53:37.000,4.399963379,0.503762603,2.108987808
06/22/2018 06:55:37.000,4.399978638,0.56888324,1.815532684
06/22/2018 06:57:37.000,4.399991035,0.625701129,1.603767395
06/22/2018 06:59:37.000,4.400000572,0.67641592,1.445282936
06/22/2018 07:01:37.000,4.400004387,0.722325027,1.31306839
06/22/2018 07:03:37.000,4.400028229,0.764230847,1.204741478
06/22/2018 07:05:37.000,4.399989128,0.802893996,1.118273735
06/22/2018 07:07:37.000,4.399986267,0.838904977,1.043600082
06/22/2018 07:09:37.000,4.399972916,0.87261039,0.978378296
06/22/2018 07:11:37.000,4.400026321,0.904242158,0.919630051
06/22/2018 07:13:37.000,4.399974823,0.933991671,0.865920067
06/22/2018 07:15:37.000,4.400014877,0.961997867,0.814076424
06/22/2018 07:17:37.000,4.399998665,0.988286793,0.764252663
06/22/2018 07:19:37.000,4.400007248,1.012915492,0.714099884
06/22/2018 07:21:37.000,4.399974823,1.035951495,0.669112206
06/22/2018 07:23:37.000,4.400022507,1.044548392,0.651999474
06/22/2018 07:25:37.000,4.270625114,1.044550419,0
06/22/2018 07:27:37.000,4.258262634,1.044550419,0
